actions,state_space,scenario_seed,algorithm_seed,replicate,method,feasible,cost,exact_cc,cog,ncog,optimum_hit,runtime_s
16,65536,7777,3209000.0,1,PSO,True,8.75,7.75,1.0,0.12903225806451613,False,0.2486410399997112
16,65536,7777,4809000.0,1,NSGA-II,True,8.3,7.75,0.5500000000000007,0.07096774193548397,False,0.22421482399977322
16,65536,7777,6409000.0,1,Random,True,9.5,7.75,1.75,0.22580645161290322,False,0.11392733699995006
16,65536,7777,1609001.0,2,GA,True,8.5,7.75,0.75,0.0967741935483871,False,0.09309228600022834
16,65536,7777,3209001.0,2,PSO,True,7.75,7.75,0.0,0.0,True,0.23178189000009297
16,65536,7777,4809001.0,2,NSGA-II,True,7.75,7.75,0.0,0.0,True,0.20003396800029805
16,65536,7777,6409001.0,2,Random,True,10.55,7.75,2.8000000000000007,0.36129032258064525,False,0.11534570700041513
16,65536,7777,1609002.0,3,GA,True,9.05,7.75,1.3000000000000007,0.16774193548387106,False,0.11122621200001959
16,65536,7777,3209002.0,3,PSO,True,7.75,7.75,0.0,0.0,True,0.20126766800012774
16,65536,7777,4809002.0,3,NSGA-II,True,7.75,7.75,0.0,0.0,True,0.19802023499960342
16,65536,7777,6409002.0,3,Random,True,8.75,7.75,1.0,0.12903225806451613,False,0.11405015500031368
16,65536,7777,1609003.0,4,GA,True,8.5,7.75,0.75,0.0967741935483871,False,0.10605579100001705
16,65536,7777,3209003.0,4,PSO,True,8.5,7.75,0.75,0.0967741935483871,False,0.19823018799979764
16,65536,7777,4809003.0,4,NSGA-II,True,7.75,7.75,0.0,0.0,True,0.21489006599995264
16,65536,7777,6409003.0,4,Random,True,10.0,7.75,2.25,0.2903225806451613,False,0.11644111099985821
16,65536,7777,1609004.0,5,GA,True,8.3,7.75,0.5500000000000007,0.07096774193548397,False,0.0933219079997798
16,65536,7777,3209004.0,5,PSO,True,9.05,7.75,1.3000000000000007,0.16774193548387106,False,0.22292452000010599
16,65536,7777,4809004.0,5,NSGA-II,True,7.75,7.75,0.0,0.0,True,0.1938290739999502
16,65536,7777,6409004.0,5,Random,True,9.3,7.75,1.5500000000000007,0.2000000000000001,False,0.10244959200008452
16,65536,7777,1609005.0,6,GA,True,8.5,7.75,0.75,0.0967741935483871,False,0.07450693600003433
16,65536,7777,3209005.0,6,PSO,True,8.75,7.75,1.0,0.12903225806451613,False,0.19066165999993245
16,65536,7777,4809005.0,6,NSGA-II,True,8.3,7.75,0.5500000000000007,0.07096774193548397,False,0.18809795600009238
16,65536,7777,6409005.0,6,Random,True,8.75,7.75,1.0,0.12903225806451613,False,0.10186773399982485
16,65536,7777,1609006.0,7,GA,True,8.55,7.75,0.8000000000000007,0.103225806451613,False,0.08026664700037145
16,65536,7777,3209006.0,7,PSO,True,8.3,7.75,0.5500000000000007,0.07096774193548397,False,0.19531280599994716
16,65536,7777,4809006.0,7,NSGA-II,True,7.75,7.75,0.0,0.0,True,0.19470692300001247
16,65536,7777,6409006.0,7,Random,True,9.0,7.75,1.25,0.16129032258064516,False,0.09882162099984271
16,65536,7777,1609007.0,8,GA,True,8.5,7.75,0.75,0.0967741935483871,False,0.07869244900030026
16,65536,7777,3209007.0,8,PSO,True,7.75,7.75,0.0,0.0,True,0.1751521569999568
16,65536,7777,4809007.0,8,NSGA-II,True,8.3,7.75,0.5500000000000007,0.07096774193548397,False,0.1870755410000129
16,65536,7777,6409007.0,8,Random,True,9.75,7.75,2.0,0.25806451612903225,False,0.10604521499999464
16,65536,7777,1609008.0,9,GA,True,7.75,7.75,0.0,0.0,True,0.0642730920003487
16,65536,7777,3209008.0,9,PSO,True,8.75,7.75,1.0,0.12903225806451613,False,0.18198080199999822
16,65536,7777,4809008.0,9,NSGA-II,True,7.75,7.75,0.0,0.0,True,0.18038767600000938
16,65536,7777,6409008.0,9,Random,True,8.75,7.75,1.0,0.12903225806451613,False,0.09812026500003412
16,65536,7777,1609009.0,10,GA,True,7.75,7.75,0.0,0.0,True,0.07361245199990663
16,65536,7777,3209009.0,10,PSO,True,7.75,7.75,0.0,0.0,True,0.178334284000357
16,65536,7777,4809009.0,10,NSGA-II,True,8.3,7.75,0.5500000000000007,0.07096774193548397,False,0.18220105099999273
16,65536,7777,6409009.0,10,Random,True,8.75,7.75,1.0,0.12903225806451613,False,0.09528074000036213
16,65536,7777,1609010.0,11,GA,True,9.3,7.75,1.5500000000000007,0.2000000000000001,False,0.09488563000013528
16,65536,7777,3209010.0,11,PSO,True,9.3,7.75,1.5500000000000007,0.2000000000000001,False,0.19346789600012926
16,65536,7777,4809010.0,11,NSGA-II,True,8.5,7.75,0.75,0.0967741935483871,False,0.18459347899988643
16,65536,7777,6409010.0,11,Random,True,8.75,7.75,1.0,0.12903225806451613,False,0.09889860600014799
16,65536,7777,1609011.0,12,GA,True,8.55,7.75,0.8000000000000007,0.103225806451613,False,0.05364544100029889
16,65536,7777,3209011.0,12,PSO,True,8.75,7.75,1.0,0.12903225806451613,False,0.16916314499985674
16,65536,7777,4809011.0,12,NSGA-II,True,7.75,7.75,0.0,0.0,True,0.18612844900007985
16,65536,7777,6409011.0,12,Random,True,9.0,7.75,1.25,0.16129032258064516,False,0.09620597000002817
