nodes,damage,seed,mode_a,mode_b,delta_coverage,delta_reliability,delta_cc,matched_001,matched_002,matched_005
90,0.15,101,gateway-near,peripheral,0.024793388429752095,0.16990547614625007,2.1500000000000004,False,False,False
90,0.15,101,gateway-near,coverage-critical,0.037190082644628086,0.1496395748914422,2.6000000000000005,False,False,False
90,0.15,101,peripheral,coverage-critical,0.012396694214875992,0.020265901254807872,0.4500000000000002,False,False,True
90,0.15,202,random,clustered,0.06198347107438018,0.013645030342891495,3.3000000000000007,False,False,False
90,0.15,202,random,gateway-near,0.02066115702479343,0.141021702078104,1.1500000000000004,False,False,False
90,0.15,202,random,peripheral,0.06198347107438018,0.033794556215887506,1.0500000000000007,False,False,False
90,0.15,202,random,coverage-critical,0.06818181818181823,0.011176104001692999,0.09999999999999964,False,False,False
90,0.15,202,clustered,gateway-near,0.04132231404958675,0.1546667324209955,2.1500000000000004,False,False,False
90,0.15,202,clustered,peripheral,0.0,0.02014952587299601,2.25,False,False,True
90,0.15,202,clustered,coverage-critical,0.006198347107438051,0.0024689263411984963,3.4000000000000004,True,True,True
90,0.15,202,gateway-near,peripheral,0.04132231404958675,0.1748162582939915,0.09999999999999964,False,False,False
90,0.15,202,gateway-near,coverage-critical,0.0475206611570248,0.152197806079797,1.25,False,False,False
90,0.15,202,peripheral,coverage-critical,0.006198347107438051,0.022618452214194507,1.1500000000000004,False,False,True
90,0.15,303,random,clustered,0.022727272727272818,0.07326075221425557,0.4500000000000002,False,False,False
90,0.15,303,random,gateway-near,0.05165289256198358,0.0971290665318905,1.25,False,False,False
90,0.15,303,random,peripheral,0.039256198347107474,0.0766141207889153,0.0,False,False,False
90,0.15,303,random,coverage-critical,0.15082644628099173,0.05611356135267201,0.7999999999999998,False,False,False
90,0.15,303,clustered,gateway-near,0.02892561983471076,0.17038981874614606,0.7999999999999998,False,False,False
90,0.15,303,clustered,peripheral,0.016528925619834656,0.003353368574659732,0.4500000000000002,False,True,True
90,0.15,303,clustered,coverage-critical,0.12809917355371891,0.01714719086158356,1.25,False,False,False
90,0.15,303,gateway-near,peripheral,0.012396694214876103,0.1737431873208058,1.25,False,False,False
90,0.15,303,gateway-near,coverage-critical,0.09917355371900816,0.1532426278845625,2.05,False,False,False
90,0.15,303,peripheral,coverage-critical,0.11157024793388426,0.020500559436243293,0.7999999999999998,False,False,False
90,0.3,101,random,clustered,0.19214876033057848,0.05477195502748319,0.0,False,False,False
90,0.3,101,random,gateway-near,0.07024793388429751,0.2045889005547199,1.6000000000000005,False,False,False
90,0.3,101,random,peripheral,0.14049586776859502,0.11403696386368828,0.7999999999999998,False,False,False
90,0.3,101,random,coverage-critical,0.10950413223140498,0.04322142868335291,0.0,False,False,False
90,0.3,101,clustered,gateway-near,0.12190082644628097,0.1498169455272367,1.6000000000000005,False,False,False
90,0.3,101,clustered,peripheral,0.051652892561983466,0.16880891889117147,0.7999999999999998,False,False,False
90,0.3,101,clustered,coverage-critical,0.0826446280991735,0.011550526344130285,0.0,False,False,False
90,0.3,101,gateway-near,peripheral,0.07024793388429751,0.3186258644184082,2.4000000000000004,False,False,False
90,0.3,101,gateway-near,coverage-critical,0.039256198347107474,0.161367471871367,1.6000000000000005,False,False,False
90,0.3,101,peripheral,coverage-critical,0.030991735537190035,0.1572583925470412,0.7999999999999998,False,False,False
90,0.3,202,random,clustered,0.19214876033057848,0.0373456402092798,0.7999999999999998,False,False,False
90,0.3,202,random,gateway-near,0.06198347107438007,0.21133547915539008,1.25,False,False,False
90,0.3,202,random,peripheral,0.152892561983471,0.08867126188681068,0.7999999999999998,False,False,False
90,0.3,202,random,coverage-critical,0.1425619834710743,0.0599768531126883,0.7999999999999998,False,False,False
90,0.3,202,clustered,gateway-near,0.1301652892561984,0.1739898389461103,2.05,False,False,False
90,0.3,202,clustered,peripheral,0.039256198347107474,0.12601690209609048,0.0,False,False,False
90,0.3,202,clustered,coverage-critical,0.04958677685950419,0.0226312129034085,0.0,False,False,True
90,0.3,202,gateway-near,peripheral,0.09090909090909094,0.30000674104220076,2.05,False,False,False
90,0.3,202,gateway-near,coverage-critical,0.08057851239669422,0.15135862604270178,2.05,False,False,False
90,0.3,202,peripheral,coverage-critical,0.010330578512396715,0.14864811499949898,0.0,False,False,False
90,0.3,303,random,clustered,0.20454545454545447,0.05015159219450488,0.4500000000000002,False,False,False
90,0.3,303,random,gateway-near,0.09090909090909094,0.1817166608072921,2.4000000000000004,False,False,False
90,0.3,303,random,peripheral,0.1673553719008264,0.1298386275023823,1.25,False,False,False
90,0.3,303,random,coverage-critical,0.14049586776859502,0.003670320772440394,0.7999999999999998,False,False,False
90,0.3,303,clustered,gateway-near,0.11363636363636354,0.23186825300179698,2.8500000000000005,False,False,False
90,0.3,303,clustered,peripheral,0.037190082644628086,0.07968703530787741,0.7999999999999998,False,False,False
90,0.3,303,clustered,coverage-critical,0.06404958677685946,0.05382191296694527,1.25,False,False,False
90,0.3,303,gateway-near,peripheral,0.07644628099173545,0.3115552883096744,3.6500000000000004,False,False,False
90,0.3,303,gateway-near,coverage-critical,0.04958677685950408,0.1780463400348517,1.6000000000000005,False,False,False
90,0.3,303,peripheral,coverage-critical,0.02685950413223137,0.13350894827482268,2.05,False,False,False
90,0.45,101,random,clustered,0.2644628099173554,0.04987481787050149,2.05,False,False,False
90,0.45,101,random,gateway-near,0.14876033057851235,0.2363644481171108,2.6000000000000005,False,False,False
90,0.45,101,random,peripheral,0.2479338842975206,0.15424517037805352,2.05,False,False,False
90,0.45,101,random,coverage-critical,0.19834710743801653,0.1833520117923243,0.35000000000000053,False,False,False
90,0.45,101,clustered,gateway-near,0.11570247933884303,0.1864896302466093,4.65,False,False,False
90,0.45,101,clustered,peripheral,0.016528925619834767,0.204119988248555,0.0,False,False,False
90,0.45,101,clustered,coverage-critical,0.06611570247933884,0.1334771939218228,2.4000000000000004,False,False,False
90,0.45,101,gateway-near,peripheral,0.09917355371900827,0.3906096184951643,4.65,False,False,False
90,0.45,101,gateway-near,coverage-critical,0.04958677685950419,0.0530124363247865,2.25,False,False,False
90,0.45,101,peripheral,coverage-critical,0.04958677685950408,0.3375971821703778,2.4000000000000004,False,False,False
90,0.45,202,random,clustered,0.2024793388429752,0.044052549214426195,0.7999999999999998,False,False,False
90,0.45,202,random,gateway-near,0.14876033057851235,0.25672725586785117,2.8500000000000005,False,False,False
90,0.45,202,random,peripheral,0.21074380165289253,0.15783361930734263,2.4,False,False,False
90,0.45,202,random,coverage-critical,0.20454545454545447,0.20968776661495298,0.0,False,False,False
90,0.45,202,clustered,gateway-near,0.05371900826446285,0.212674706653425,3.6500000000000004,False,False,False
90,0.45,202,clustered,peripheral,0.008264462809917328,0.20188616852176883,1.6,False,False,False
90,0.45,202,clustered,coverage-critical,0.0020661157024792765,0.16563521740052678,0.7999999999999998,False,False,False
90,0.45,202,gateway-near,peripheral,0.06198347107438018,0.4145608751751938,5.25,False,False,False
90,0.45,202,gateway-near,coverage-critical,0.05578512396694213,0.0470394892528982,2.8500000000000005,False,False,False
90,0.45,202,peripheral,coverage-critical,0.006198347107438051,0.3675213859222956,2.4,False,False,False
90,0.45,303,random,clustered,0.30165289256198347,0.11403604337282738,1.0,False,False,False
90,0.45,303,random,peripheral,0.3305785123966942,0.2080570353990122,1.5500000000000007,False,False,False
90,0.45,303,random,coverage-critical,0.22314049586776852,0.1435261551295225,1.25,False,False,False
90,0.45,303,clustered,peripheral,0.02892561983471076,0.32209307877183957,2.5500000000000007,False,False,False
90,0.45,303,clustered,coverage-critical,0.07851239669421495,0.02949011175669511,0.25,False,False,False
90,0.45,303,peripheral,coverage-critical,0.1074380165289257,0.3515831905285347,2.8000000000000007,False,False,False
